geo_id,value,metric,source
24042,62.19567012826236,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24046,51.042843639667815,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24002,83.74034039397856,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24003,45.00548378309863,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24004,173.84745322312597,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24018,102.95021738734104,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24019,206.1142609587723,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24020,129.91871275564088,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24044,57.75345043643285,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24045,191.54188100488693,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24049,63.22883648201593,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24050,52.1041248845,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24052,118.44070432994724,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24053,53.01920159406372,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24054,39.87993741967416,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24055,52.46761520957828,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24034,74.37600012531013,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24014,95.3597600609126,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24033,60.121774415939306,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24001,90.92676465326944,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24051,153.73119917648708,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24032,126.750755785437,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24027,138.9101592187254,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24025,68.10675989818547,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24056,74.18628279408046,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24057,43.80239410433999,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24048,108.14716497491612,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24015,49.009803575746105,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24013,165.0105673767635,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24043,184.92852081285443,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24012,61.84366656817506,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24011,121.46473367368836,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24010,60.97453671021096,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24009,58.36501350661181,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24008,129.39200783547258,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24007,91.92673365244362,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24041,63.69100508343959,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24040,85.9445858379386,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24039,54.80793096141176,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24038,60.29452482026865,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24058,103.85117851042132,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24037,76.27716641095256,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24036,93.40012491845958,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24035,95.35261270738096,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24006,86.65281170045036,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24031,40.41058585132705,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24030,238.5162827610471,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24029,75.23297701495989,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24028,229.45753799303117,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24026,61.603971589911936,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24005,120.88890860023182,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24024,160.7736092158409,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24023,132.96102030598496,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24022,88.51044813336944,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24021,81.70915516435531,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24017,115.48601303611233,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24047,150.29418469714415,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24016,90.5395602914944,predicted_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24042,4.27595232131804,predicted_count,discrete_negative_binomial_estimated_dispersion
24046,4.7025771845225925,predicted_count,discrete_negative_binomial_estimated_dispersion
24002,3.347938808951262,predicted_count,discrete_negative_binomial_estimated_dispersion
24003,10.9570350818332,predicted_count,discrete_negative_binomial_estimated_dispersion
24004,3.5047646569782205,predicted_count,discrete_negative_binomial_estimated_dispersion
24018,8.083651069254023,predicted_count,discrete_negative_binomial_estimated_dispersion
24019,5.612491325907368,predicted_count,discrete_negative_binomial_estimated_dispersion
24020,68.26968517883411,predicted_count,discrete_negative_binomial_estimated_dispersion
24044,2.166331925870595,predicted_count,discrete_negative_binomial_estimated_dispersion
24045,13.737383705670483,predicted_count,discrete_negative_binomial_estimated_dispersion
24049,12.722906476911236,predicted_count,discrete_negative_binomial_estimated_dispersion
24050,13.937332365354894,predicted_count,discrete_negative_binomial_estimated_dispersion
24052,6.12220000681497,predicted_count,discrete_negative_binomial_estimated_dispersion
24053,8.815502649044973,predicted_count,discrete_negative_binomial_estimated_dispersion
24054,10.094010960293732,predicted_count,discrete_negative_binomial_estimated_dispersion
24055,7.295097218739761,predicted_count,discrete_negative_binomial_estimated_dispersion
24034,5.603487849440864,predicted_count,discrete_negative_binomial_estimated_dispersion
24014,7.530560252010266,predicted_count,discrete_negative_binomial_estimated_dispersion
24033,3.310304899341617,predicted_count,discrete_negative_binomial_estimated_dispersion
24001,9.119045227076398,predicted_count,discrete_negative_binomial_estimated_dispersion
24051,11.995645471741293,predicted_count,discrete_negative_binomial_estimated_dispersion
24032,26.26529161385825,predicted_count,discrete_negative_binomial_estimated_dispersion
24027,7.326121797195578,predicted_count,discrete_negative_binomial_estimated_dispersion
24025,11.055770334272458,predicted_count,discrete_negative_binomial_estimated_dispersion
24056,6.59367681473787,predicted_count,discrete_negative_binomial_estimated_dispersion
24057,6.519986362431007,predicted_count,discrete_negative_binomial_estimated_dispersion
24048,2.8810404749317664,predicted_count,discrete_negative_binomial_estimated_dispersion
24015,5.468513882981753,predicted_count,discrete_negative_binomial_estimated_dispersion
24013,153.47467861145384,predicted_count,discrete_negative_binomial_estimated_dispersion
24043,7.852064993713801,predicted_count,discrete_negative_binomial_estimated_dispersion
24012,6.369279219856353,predicted_count,discrete_negative_binomial_estimated_dispersion
24011,29.956847265941747,predicted_count,discrete_negative_binomial_estimated_dispersion
24010,9.344347750839823,predicted_count,discrete_negative_binomial_estimated_dispersion
24009,1.4573743872600975,predicted_count,discrete_negative_binomial_estimated_dispersion
24008,14.612239444859927,predicted_count,discrete_negative_binomial_estimated_dispersion
24007,9.34343320843437,predicted_count,discrete_negative_binomial_estimated_dispersion
24041,5.793970732440499,predicted_count,discrete_negative_binomial_estimated_dispersion
24040,16.20828944317683,predicted_count,discrete_negative_binomial_estimated_dispersion
24039,3.7532471122374735,predicted_count,discrete_negative_binomial_estimated_dispersion
24038,4.261014069048383,predicted_count,discrete_negative_binomial_estimated_dispersion
24058,10.918912908585709,predicted_count,discrete_negative_binomial_estimated_dispersion
24037,37.244614815139904,predicted_count,discrete_negative_binomial_estimated_dispersion
24036,13.485110035727184,predicted_count,discrete_negative_binomial_estimated_dispersion
24035,162.28537919732707,predicted_count,discrete_negative_binomial_estimated_dispersion
24006,4.063150340634117,predicted_count,discrete_negative_binomial_estimated_dispersion
24031,2.524045192273887,predicted_count,discrete_negative_binomial_estimated_dispersion
24030,5.743472088886015,predicted_count,discrete_negative_binomial_estimated_dispersion
24029,7.042558978370392,predicted_count,discrete_negative_binomial_estimated_dispersion
24028,1080.770244276356,predicted_count,discrete_negative_binomial_estimated_dispersion
24026,2.8818337909760783,predicted_count,discrete_negative_binomial_estimated_dispersion
24005,11.58357522207421,predicted_count,discrete_negative_binomial_estimated_dispersion
24024,81.83376709086305,predicted_count,discrete_negative_binomial_estimated_dispersion
24023,10.428132822598393,predicted_count,discrete_negative_binomial_estimated_dispersion
24022,8.811215111676933,predicted_count,discrete_negative_binomial_estimated_dispersion
24021,25.001367297189454,predicted_count,discrete_negative_binomial_estimated_dispersion
24017,14.560476523593035,predicted_count,discrete_negative_binomial_estimated_dispersion
24047,6.982667821029315,predicted_count,discrete_negative_binomial_estimated_dispersion
24016,18.984335001920552,predicted_count,discrete_negative_binomial_estimated_dispersion
24042,58.18181818181818,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24046,65.12536633018561,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24002,75.0375187593797,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24003,41.074509159615545,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24004,148.8095238095238,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24018,25.47121752419765,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24019,183.6210062431142,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24020,142.72664992007307,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24044,79.97867235403892,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24045,153.37423312883436,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24049,49.69684921975947,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
24050,59.815320198885935,observed_rate_per_100k,discrete_negative_binomial_estimated_dispersion
